Equipe;Epic;Titre;Statut;Total;Done;EnCours;Type;Composant
AUTOMATISER;AUT-25;RUN Q1;En cours;0;0;0;;
AUTOMATISER;AUT-453;AP Perf clics - développements;Backlog;19;5;3;;Autopilot
AUTOMATISER;AUT-454;AP Perf DTW - mise à dispo des données;Backlog;0;0;0;;Autopilot
AUTOMATISER;AUT-461;AP Perf DTW - mise à dispo des données;Backlog;4;2;0;Build;Octopus
AUTOMATISER;AUT-462;AP Perf - Drive To Store : mise à dispo des données;Backlog;0;0;0;Build;Octopus
AUTOMATISER;AUT-467;AP Météoflex open data - développements;Backlog;7;7;0;;Autopilot
AUTOMATISER;AUT-501;RUN - Automatiser;Backlog;25;20;5;;Autopilot
AUTOMATISER;AUT-503;Fusion TVS/Streaming : dev AP PSL;Backlog;9;9;0;;Autopilot
ENGAGER;ENG-151;Recommandation de contenus dans Braze;En cours;10;8;0;;Marketing automation
ENGAGER;ENG-152;Réengager les utilisateurs J+90;En cours;8;3;0;;Marketing automation
ENGAGER;ENG-153;Créer les dashboards;En cours;0;0;0;;Marketing automation
ENGAGER;ENG-155;Intégrer les données pour le NBA dans Braze;En cours;1;0;1;;Marketing automation
ENGAGER;ENG-161;Synchronisation des catalogues Braze;En cours;3;1;0;Run;Marketing automation
ENGAGER;ENG-162;TF1 Info - Segmentation dynamique;En cours;16;14;1;;Marketing automation
ENGAGER;ENG-166;TF1 info - Elections municipales;En cours;2;2;0;Build;Marketing automation
ENGAGER;ENG-167;PAY & Premium - Réengagement des utilisateurs;Terminé;2;2;0;Run;Marketing automation
ENGAGER;ENG-168;RUN TF1 Info;En cours;3;1;0;Run;RUN
ENGAGER;ENG-169;RUN TF1+;En cours;6;6;0;Run;RUN
ENGAGER;ENG-190;RUN - Evolutions Braze;En cours;7;6;1;;Marketing automation
ENGAGER;ENG-200;Tempo - Temps non productif;En cours;2;0;0;Run;SSO
ENGAGER;ENG-204;Cadrage SSO Lot 2;A cadrer;3;2;1;Build;SSO
EXPOSER;DE-143;[Mesure] Evol dashboard PAD - Q1-Q32025;Terminé;0;0;0;;Dashboarding
EXPOSER;DE-160;Faire évoluer le dashboard TF1+ pour l'équipe Distribution;A cadrer;8;1;0;;Dashboarding
EXPOSER;DE-291;Relier les signaux d'affinité Amazon aux programmes TF1;A cadrer;2;0;0;Build;Graph ID​
EXPOSER;DE-292;Enrichir GraphID avec les données de Micro Paiement;En cours;1;1;0;Build;Graph ID​
EXPOSER;DE-293;APA : Optimiser la version pour les commerciaux et traiter les retours;Backlog;6;3;0;Build;Graph ID​
EXPOSER;DE-295;APA x TAM V1 : Mettre en place des KPIs génériques dans TAM;En cours;10;1;0;Build;Graph ID​
